,0,1
64,Stavropol',"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('INM-CM4-8', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('EC-Earth3', 'ssp370')]"
65,Sverdlovsk,"[('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CNRM-CM6-1', 'ssp245'), ('GFDL-ESM4', 'ssp370')]"
66,Tambov,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('CMCC-ESM2', 'ssp585'), ('MRI-ESM2-0', 'ssp585')]"
67,Tatarstan,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('EC-Earth3', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
68,Tomsk,"[('BCC-CSM2-MR', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('INM-CM4-8', 'ssp245'), ('CMCC-ESM2', 'ssp370'), ('EC-Earth3', 'ssp585')]"
69,Tula,"[('CMCC-ESM2', 'ssp126'), ('CanESM5', 'ssp245'), ('EC-Earth3', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('UKESM1-0-LL', 'ssp245'), ('NorESM2-MM', 'ssp370')]"
70,Tuva,"[('ACCESS-CM2', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('AWI-CM-1-1-MR', 'ssp245'), ('CMCC-ESM2', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('EC-Earth3', 'ssp370')]"
71,Tver',"[('CAMS-CSM1-0', 'ssp126'), ('EC-Earth3', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
72,Tyumen',"[('BCC-CSM2-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('CanESM5', 'ssp245'), ('CMCC-ESM2', 'ssp585')]"
73,Udmurt,"[('BCC-CSM2-MR', 'ssp126'), ('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('NorESM2-MM', 'ssp126')]"
74,Ul'yanovsk,"[('AWI-CM-1-1-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('GFDL-ESM4', 'ssp245')]"
75,Vladimir,"[('CNRM-CM6-1', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('EC-Earth3', 'ssp245'), ('MIROC6', 'ssp370'), ('UKESM1-0-LL', 'ssp370'), ('CanESM5', 'ssp585')]"
76,Volgograd,"[('CNRM-CM6-1', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('EC-Earth3', 'ssp245'), ('CMCC-ESM2', 'ssp370')]"
77,Vologda,"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('NorESM2-MM', 'ssp585')]"
78,Voronezh,"[('BCC-CSM2-MR', 'ssp126'), ('CAMS-CSM1-0', 'ssp126'), ('CNRM-CM6-1', 'ssp126'), ('NorESM2-MM', 'ssp126'), ('CanESM5', 'ssp245'), ('INM-CM4-8', 'ssp245'), ('UKESM1-0-LL', 'ssp585')]"
79,Yamal-Nenets,"[('AWI-CM-1-1-MR', 'ssp126'), ('GFDL-ESM4', 'ssp126'), ('MRI-ESM2-0', 'ssp126'), ('CNRM-CM6-1', 'ssp245'), ('NorESM2-MM', 'ssp245'), ('MPI-ESM1-2-HR', 'ssp585')]"
80,Yaroslavl',"[('CMCC-ESM2', 'ssp126'), ('EC-Earth3', 'ssp126'), ('UKESM1-0-LL', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('IPSL-CM6A-LR', 'ssp245'), ('MIROC6', 'ssp585')]"
81,Yevrey,"[('CAMS-CSM1-0', 'ssp126'), ('EC-Earth3', 'ssp126'), ('IPSL-CM6A-LR', 'ssp126'), ('CMCC-ESM2', 'ssp245'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp370')]"
82,Zabaykal'ye,"[('AWI-CM-1-1-MR', 'ssp126'), ('EC-Earth3', 'ssp126'), ('MPI-ESM1-2-HR', 'ssp126'), ('GFDL-ESM4', 'ssp245'), ('MRI-ESM2-0', 'ssp245')]"
